,sentence,sentence_preprocessed,sentence_length,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context
10,【記者林淑美報導】教育部日前邀集各縣市教育局長舉行聯席會議，部分教育局長在會中建議，明年實施的高中多元入學方案中，可在國中基本學力測驗中加考英語聽力，激勵中學生培養英語聽說能力。對於這項建議，教育部長曾志朗表示，將指示臺灣師範大學心理測驗和輔導研究發展中心研究相關做法，評估國中基本學力測驗是不是加考英語聽力。也可以考慮在甄選入學階段，鼓勵由各校實施英聽測驗。,記者 林淑美 報導 教育部 日前 邀集 各 縣市 教育局長 舉行 聯席 會議 部分 教育局長 在 會 中 建議 明年 實施 的 高中 多元 入學 方案 中 可 在 國中 基本 學力 測驗 中 加考 英語 聽力 激勵 中學生 培養 英語 聽說 能力 對於 這 項 建議 教育部長 曾志朗 表示 將 指示 臺灣 師範 大學 心理 測驗 和 輔導 研究 發展 中心 研究 相關 做法 評估 國中 基本 學力 測驗 是 不 是 加考 英語 聽力 也 可以 考慮 在 甄選 入學 階段 鼓勵 由 各 校 實施 英聽 測驗,89,"{'High': 76, 'Low': 13}","{'第4級': 8, 'Unknown': 22, '第5級': 15, '第7級': 1, '第2級': 6, '第1*級': 5, '第3*級': 2, '第6級': 5, '第1級': 9, '第4*級': 9, '第2*級': 3, '第3級': 4}",7,Y,Y
11,臺南市教育局長鄭新輝表示，傳統的英語教學型態偏重讀和寫，使得國人英語教學的效果無法符合國際化的需求。在國中基本學力測驗中加考英聽科目，將對中學的英語教學型態帶來正面影響，讓國中師生重視培養聽說英語的能力。,臺南市 教育局長 鄭新輝 表示 傳統 的 英語 教學 型態 偏重 讀 和 寫 使得 國人 英語 教學 的 效果 無法 符合 國際化 的 需求 在 國中 基本 學力 測驗 中 加考 英聽 科目 將 對 中學 的 英語 教學 型態 帶來 正面 影響 讓 國中 師生 重視 培養 聽 說 英語 的 能力,53,"{'Low': 7, 'High': 46}","{'Unknown': 11, '第4*級': 3, '第3級': 2, '第1級': 9, '第2*級': 4, '第4級': 6, '第6級': 3, '第7級': 1, '第1*級': 2, '第5級': 8, '第3*級': 2, '第2級': 2}",4,Y,Y
12,本報啟事,本 報 啟事,3,"{'High': 2, 'Low': 1}","{'第1級': 1, 'Unknown': 1, '第7級': 1}",0,N,Y
13,各位讀者新年好！今天是民國九十年的元旦，也是進入二十一世紀的第一天—西元二○○一年一月一日。為了慶祝一個新世紀的開始，本報特別規畫一些新的內容，服務讀者。,各位 讀者 新年 好 今天 是 民國 九十年 的 元旦 也 是 進入 二十一世紀 的 第一 天 西元 二一年 一月 一日 為 了 慶祝 一 個 新 世紀 的 開始 本 報 特別 規畫 一些 新 的 內容 服務 讀者,40,"{'High': 38, 'Low': 2}","{'Unknown': 10, '第4*級': 4, '第2*級': 1, '第1級': 15, '第4級': 4, '第2級': 3, '第6級': 1, '第1*級': 1, '第3級': 1}",3,Y,Y
14,迎接二十一世紀特刊—從今天起一連五天，逐日刊出生活休閒篇、科技生活篇、人文篇、快樂成長篇、資訊篇。,迎接 二十一世紀 特刊 從 今天 起 一連 五 天 逐日 刊出 生活 休閒 篇 科技 生活 篇 人文篇 快樂 成長 篇 資訊篇,22,"{'High': 17, 'Low': 5}","{'第5級': 2, 'Unknown': 6, '第1*級': 2, '第1級': 3, '第3*級': 1, '第3級': 2, '第4級': 6}",3,Y,Y
15,九年一貫課程系列報導—今天開始，每週星期一在第十五版，分別由各地記者專題報導，採訪北、中、南各縣市教育局推荐的試辦學校，探討九年一貫國民教育新課程過去一年來試辦的成果，提供給各國小參考。,九 年 一貫 課程 系列 報導 今天 開始 每 週 星期一 在 第十五 版 分別 由 各 地 記者 專題 報導 採訪 北 中 南 各 縣市 教育局 推荐 的 試辦 學校 探討 九 年 一貫 國民教育 新 課程 過去 一 年 來 試辦 的 成果 提供給 各 國小 參考,50,"{'High': 46, 'Low': 4}","{'第1級': 13, '第6級': 4, '第4級': 4, '第5級': 5, '第2級': 6, '第1*級': 2, '第3級': 1, 'Unknown': 10, '第4*級': 4, '第3*級': 1}",5,Y,Y
16,日日談—每週一到週六在第二版刊出。邀教育學者專家提出對目前教育的評析。,日日談 每 週一 到 週六 在 第二 版 刊出 邀 教育 學者 專家 提出 對 目前 教育 的 評析,19,"{'Low': 3, 'High': 16}","{'Unknown': 7, '第1*級': 2, '第2*級': 1, '第1級': 3, '第5級': 1, '第3級': 2, '第4*級': 1, '第4級': 2}",1,Y,Y
17,文化圈—每週日在第二版刊出。,文化圈 每 週日 在 第二 版 刊出,7,"{'Low': 3, 'High': 4}","{'Unknown': 3, '第1*級': 2, '第2*級': 1, '第5級': 1}",1,N,Y
18,跨世紀晚會各地民眾熱情倒數,跨 世紀 晚會 各 地 民眾 熱情 倒數,8,"{'High': 7, 'Low': 1}","{'第5級': 2, '第4級': 2, 'Unknown': 2, '第2級': 1, '第4*級': 1}",0,N,Y
19,【記者陳昭玲報導】迎接新世紀，臺北縣市及其他地區昨天晚上舉行多場大型倒數計時跨年晚會，民眾扶老攜幼熱情參與，從二十世紀跨越二十一世紀，歡度一個難忘的跨年夜晚。,記者 陳昭玲 報導 迎接 新 世紀 臺北 縣市 及 其他 地區 昨天 晚上 舉行 多 場 大型 倒數 計時 跨年 晚會 民眾 扶老攜幼 熱情 參與 從 二十世紀 跨越 二十一世紀 歡度 一 個 難忘 的 跨年 夜晚,36,"{'High': 29, 'Low': 7}","{'第4級': 5, 'Unknown': 12, '第5級': 5, '第1級': 7, '第2級': 2, '第4*級': 2, '第1*級': 1, '第6級': 1, '第3*級': 1}",4,Y,Y
20,總統府前廣場、臺北市政府、中正紀念堂、中山足球場、臺北市立體育場以及臺北捷運淡水站等，昨天都舉行了大型的跨年遊行或晚會。為了迎接新世紀的到來，昨天晚上臺北也施放煙火，將夜空點綴得亮麗而熱鬧。,總統府 前 廣場 臺北市政府 中正 紀念堂 中山 足球場 臺北 市立 體育場 以及 臺北 捷運 淡水站 等 昨天 都 舉行 了 大型 的 跨年 遊行 或 晚會 為 了 迎接 新 世紀 的 到來 昨天 晚上 臺北 也 施放 煙火 將 夜空 點綴 得 亮麗 而 熱鬧,46,"{'High': 37, 'Low': 9}","{'第4*級': 1, '第1級': 9, '第5級': 6, 'Unknown': 21, '第3級': 2, '第3*級': 2, '第4級': 3, '第6級': 2}",6,Y,Y
21,臺北市政府廣場前「二○○ｅ臺北新世紀」跨年晚會，昨天晚上邀請張惠妹等知名藝人，和臺北市長馬英九以及市府團隊，一起與民眾倒數計時迎接新年，並許下新世紀願望。現場民眾在寒夜中迎接二十一世紀的第一秒，氣氛熱烈。,臺北市政府 廣場 前 二 ｅ 臺北 新 世紀 跨年 晚會 昨天 晚上 邀請 張惠妹 等 知名 藝人 和 臺北市長 馬英九 以及 市府 團隊 一起 與 民眾 倒數 計時 迎接 新年 並 許下 新 世紀 願望 現場 民眾 在 寒夜 中 迎接 二十一世紀 的 第一 秒 氣氛 熱烈,47,"{'Low': 9, 'High': 38}","{'Unknown': 15, '第5級': 8, '第1級': 8, '第4級': 5, '第3*級': 1, '第4*級': 7, '第2*級': 1, '第1*級': 1, '第2級': 1}",5,Y,Y
22,「日日談」新世紀的期待,日日談 新 世紀 的 期待,5,"{'Low': 1, 'High': 4}","{'Unknown': 1, '第1級': 2, '第4級': 1, '第4*級': 1}",1,N,N
23,在新年的開始，我們不能免俗，總有些新希望，何況這個新年又是另一個新世紀的開始，這種期待周遭一切均能煥然一新的心情，自然更加強烈。,在 新年 的 開始 我們 不能 免俗 總 有 些 新 希望 何況 這 個 新年 又 是 另 一 個 新 世紀 的 開始 這 種 期待 周遭 一切 均 能 煥然一新 的 心情 自然 更加 強烈,38,"{'High': 36, 'Low': 2}","{'第1*級': 3, '第2*級': 2, '第1級': 13, '第2級': 4, 'Unknown': 4, '第5級': 3, '第3級': 1, '第4級': 1, '第4*級': 1, '第6級': 2, '第3*級': 3, '第7級': 1}",1,Y,Y
24,如果說近半世紀住在臺灣的中國人的生活，是中國歷史上最美好的階段，大概沒有人反對。不論民生經濟的成長、民主政治的實施，都獲得舉世正面的評價。物質生活達到相當的水準，言論與宗教自由也不再是遙不可及。然而，美好似乎只是短暫的，禁不起「政治人物」不斷的摧殘與耗損，目前的臺灣社會正在退化中。,如果說 近 半 世紀 住在 臺灣 的 中國人 的 生活 是 中國 歷史 上 最 美好 的 階段 大概 沒有 人 反對 不論 民生 經濟 的 成長 民主 政治 的 實施 都 獲得 舉世 正面 的 評價 物質生活 達到 相當 的 水準 言論 與 宗教 自由 也 不再 是 遙不可及 然而 美好 似乎 只是 短暫 的 禁不起 政治 人物 不斷 的 摧殘 與 耗損 目前 的 臺灣 社會 正在 退化 中,71,"{'High': 64, 'Low': 7}","{'Unknown': 8, '第2級': 1, '第1級': 21, '第4級': 13, '第3級': 4, '第1*級': 1, '第4*級': 6, '第6級': 4, '第5級': 7, '第3*級': 2, '第7級': 4}",5,Y,Y
25,升斗小民只求國泰民安。因此希望在新世紀的來臨，我們能有新的開始：不論何種立場的政治人物，不要再打口水戰互相抹黑，應專心國事；新聞媒體自我節制，少在負面新聞上大作文章，多刊登些溫馨感人的報導，國人均能摒棄意識型態，再創經濟新奇蹟，因為經濟是臺灣地區的命脈，經濟衰退，我們便失去發言的舞臺。,升斗小民 只 求 國泰民安 因此 希望 在 新 世紀 的 來臨 我們 能 有 新 的 開始 不論 何 種 立場 的 政治 人物 不要 再 打 口水戰 互相 抹黑 應 專心 國事 新聞 媒體 自我 節制 少 在 負面 新聞 上 大作 文章 多 刊登 些 溫馨 感人 的 報導 國人 均 能 摒棄 意識 型態 再 創 經濟 新 奇蹟 因為 經濟 是 臺灣 地區 的 命脈 經濟 衰退 我們 便 失去 發言 的 舞臺,77,"{'Low': 10, 'High': 67}","{'Unknown': 12, '第1*級': 8, '第4*級': 2, '第2級': 2, '第1級': 18, '第4級': 13, '第5級': 10, '第6級': 8, '第3級': 2, '第7級': 2}",3,Y,Y
26,危機亦即轉機，人們期盼的是「同舟共濟」，而非「同歸於盡」，在臺灣這樣一隻小舟上，這種心情更是人人都應該具有的。,危機 亦即 轉機 人們 期盼 的 是 同舟共濟 而 非 同歸於盡 在 臺灣 這樣 一 隻 小 舟 上 這 種 心情 更 是 人人 都 應該 具有 的,29,"{'High': 26, 'Low': 3}","{'第4*級': 2, 'Unknown': 6, '第6級': 4, '第1級': 10, '第5級': 2, '第1*級': 2, '第3級': 1, '第2級': 1, '第3*級': 1}",2,N,Y
27,世界之窗,世界 之 窗,3,{'High': 3},"{'第2級': 1, '第5級': 1, '第2*級': 1}",0,N,Y
28,瘦試鼠何以長命科學家找出原因,瘦試鼠 何以 長命 科學家 找出 原因,6,"{'Low': 2, 'High': 4}","{'Unknown': 4, '第6級': 1, '第3*級': 1}",2,Y,Y
29,據「美國新聞及世界報導」歲末雙週刊說，二十一世紀革新家之一，「麻省理工」分子生物學家格倫特博士，正在率先研究一個最神祕的老化問題—為什麼吃得很少會增加壽命？研究人員發現，試鼠每天餵食量減少百分之四十，可使壽命從正常的四十個月增加為五十六個月。格倫特要找出限制食量所以能延長壽命的理由，使人類在不挨餓的情形下也能長壽。經過九年的研究，終於在九月「科學」雜誌上發表他的答案。,據 美國 新聞 及 世界 報導 歲末 雙週刊 說 二十一世紀 革新家 之 一 麻省理工 分子 生物學家 格倫特 博士 正在 率先 研究 一 個 最 神祕 的 老化 問題 為什麼 吃 得 很少 會 增加 壽命 研究 人員 發現 試鼠 每 天 餵食量 減少 百分之四十 可 使 壽命 從 正常 的 四十 個 月 增加為 五十六 個 月 格倫特 要 找出 限制 食量 所以 能 延長 壽命 的 理由 使 人類 在 不 挨餓 的 情形 下 也 能 長壽 經過 九 年 的 研究 終於 在 九月 科學 雜誌 上 發表 他 的 答案,94,"{'High': 79, 'Low': 15}","{'第4*級': 5, '第1級': 25, '第3級': 4, '第5級': 13, '第2級': 3, 'Unknown': 21, '第6級': 2, '第4級': 6, '第1*級': 11, '第3*級': 4}",12,Y,Y
30,生物學重大發現可能催生長壽丸,生物學 重大 發現 可能 催生 長壽丸,6,"{'High': 4, 'Low': 2}","{'Unknown': 3, '第4*級': 1, '第2級': 1, '第1級': 1}",2,Y,Y
31,美國生物學家格倫特教授要找的是人體上主宰老化的基因，和為什麼限制食物會影響這個基因，延緩老化的過程。但人體有十萬個基因，所以他改在只有六千兩百個基因、但細胞和人體細胞同類的酵母裡尋找。經過九年，他終於找到了跟延年有關的酵母基因ＳＩＲ２和代謝酵素（ＮＡＤ）。他發現，吃得少的試鼠，只需要用較少的ＮＡＤ代謝食物，容許較多的ＮＡＤ來激發ＳＩＲ２。較多的ＳＩＲ２，是延遲老化過程的關鍵，只要能增加ＳＩＲ２，不挨餓也能長壽，如果他的理論正確無誤，將來就可能出現真能增壽的「ＳＩＲ２靈丹」了。,美國 生物學家 格倫特 教授 要 找 的 是 人體 上 主宰 老化 的 基因 和 為什麼 限制 食物 會 影響 這 個 基因 延緩 老化 的 過程 但 人體 有 十萬 個 基因 所以 他 改 在 只 有 六千兩百 個 基因 但 細胞 和 人體 細胞 同 類 的 酵母 裡 尋找 經過 九 年 他 終於 找到 了 跟 延年 有關 的 酵母 基因 ＳＩＲ２ 和 代謝 酵素 ＮＡＤ 他 發現 吃 得 少 的 試鼠 只 需要 用 較少 的 ＮＡＤ 代謝 食物 容許 較多 的 ＮＡＤ 來 激發 ＳＩＲ２ 較多 的 ＳＩＲ２ 是 延遲 老化 過程 的 關鍵 只要 能 增加 ＳＩＲ２ 不 挨餓 也 能 長壽 如果 他 的 理論 正確 無誤 將來 就 可能 出現 真 能 增壽 的 ＳＩＲ２ 靈丹 了,128,"{'High': 103, 'Low': 25}","{'第1級': 38, 'Unknown': 35, '第3*級': 3, '第5級': 15, '第6級': 7, '第1*級': 12, '第4*級': 1, '第3級': 4, '第2級': 7, '第4級': 6}",12,Y,Y
32,全球外銷額增一成英國大哥大成長快,全球 外銷額 增 一成 英國 大哥大 成長 快,8,"{'High': 6, 'Low': 2}","{'第4級': 3, 'Unknown': 3, '第1級': 1, '第1*級': 1}",2,N,Y
33,據美國「時代」雜誌歲末雙週刊說，二○○○年全球外銷貨物總金額為七萬五千億美元，比去年增加百分之十。,據 美國 時代 雜誌 歲末 雙週刊 說 二年 全球 外銷 貨物 總金額 為 七萬五千億 美元 比 去年 增加 百分之十,19,"{'High': 14, 'Low': 5}","{'第4*級': 2, '第1級': 3, '第3*級': 1, 'Unknown': 8, '第4級': 3, '第5級': 1, '第1*級': 1}",4,N,Y
34,英國在耶誕節前三個月，先賣出行動電話四百七十萬具，目前持有行動電話的英國人超出百分之五十。,英國 在 耶誕節 前 三 個 月 先 賣出 行動電話 四百七十萬 具 目前 持有 行動電話 的 英國人 超出 百分之五十,19,"{'High': 16, 'Low': 3}","{'第1級': 6, '第1*級': 2, 'Unknown': 8, '第6級': 1, '第4級': 1, '第5級': 1}",6,Y,Y
35,非洲各國政府每年在處理和償還外債方面所花費的金額為一百二十億美元，約為小學教育總預算的兩倍。,非洲 各 國 政府 每 年 在 處理 和 償還 外債 方面 所 花費 的 金額 為 一百二十億 美元 約為 小學 教育 總預算 的 兩 倍,26,"{'High': 22, 'Low': 4}","{'第3*級': 3, '第2級': 2, '第1級': 5, '第4級': 2, '第1*級': 2, '第4*級': 2, 'Unknown': 6, '第7級': 1, '第6級': 1, '第2*級': 1, '第3級': 1}",2,Y,Y
36,臺北電臺英語新聞開播,臺北 電臺 英語 新聞 開播,5,"{'High': 3, 'Low': 2}","{'Unknown': 2, '第6級': 1, '第2*級': 1, '第3級': 1}",0,N,Y
37,【記者林淑美報導】臺北廣播電臺從今年起，每週將增加轉播英國廣播公司英語世界新聞節目，在每天上午七點到九點，以及晚上九點到十點，讓大臺北地區民眾能夠更便利的收聽英語新聞節目，也促進臺北城市走向國際化。,記者 林淑美 報導 臺北 廣播 電臺 從 今年 起 每 週 將 增加 轉播 英國 廣播 公司 英語 世界 新聞 節目 在 每 天 上午 七點 到 九點 以及 晚上 九點 到 十點 讓 大臺北 地區 民眾 能夠 更 便利 的 收聽 英語 新聞 節目 也 促進 臺北 城市 走向 國際化,51,"{'High': 47, 'Low': 4}","{'第4級': 6, 'Unknown': 13, '第5級': 6, '第6級': 2, '第1*級': 4, '第1級': 9, '第3*級': 1, '第3級': 4, '第2級': 3, '第2*級': 2, '第4*級': 1}",3,Y,Y
38,臺北廣播電臺表示，聽眾可利用清晨七點到九點的時段，隨時利用廣播收聽純正的英式英語，以及英國廣播公司的新聞評論節目。另外，每天晚上九點到十點的時段，也可使更多聽眾在晚上繼續充電。,臺北 廣播 電臺 表示 聽眾 可 利用 清晨 七點 到 九點 的 時段 隨時 利用 廣播 收聽 純正 的 英式 英語 以及 英國 廣播 公司 的 新聞 評論 節目 另外 每 天 晚上 九點 到 十點 的 時段 也 可 使 更多 聽眾 在 晚上 繼續 充電,47,"{'High': 42, 'Low': 5}","{'Unknown': 8, '第5級': 9, '第6級': 3, '第4*級': 3, '第3*級': 2, '第1級': 11, '第4級': 4, '第7級': 1, '第2*級': 1, '第2級': 1, '第3級': 2, '第1*級': 2}",0,Y,Y
39,民眾可上網查詢相關節目時段的內容，臺北電臺網站是：http://www.tbs.tcg.gov.tw/。,民眾 可 上網 查詢 相關 節目 時段 的 內容 臺北 電臺 網站 是 httpwwwtbstcggovtw,14,"{'High': 12, 'Low': 2}","{'第4*級': 3, '第2*級': 2, '第6級': 3, '第4級': 2, '第1級': 2, 'Unknown': 2}",1,Y,Y
40,北市新生國小落成強調雙文化教育,北市 新生 國小 落成 強調 雙 文化 教育,8,"{'High': 7, 'Low': 1}","{'Unknown': 2, '第3*級': 1, '第7級': 1, '第5級': 1, '第2級': 2, '第3級': 1}",0,Y,Y
41,【記者林淑美報導】臺北市第一所標榜雙文化教育的學校---新生國小，昨天舉行校舍落成典禮。籌備七年後，終於在新世紀前夕啟用，讓這座新式小學的落成格外具有意義。,記者 林淑美 報導 臺北市 第一 所 標榜 雙 文化 教育 的 學校 新生 國小 昨天 舉行 校舍 落成 典禮 籌備 七 年 後 終於 在 新 世紀 前夕 啟用 讓 這 座 新式 小學 的 落成 格外 具有 意義,39,"{'High': 34, 'Low': 5}","{'第4級': 5, 'Unknown': 4, '第5級': 3, '第2級': 5, '第7級': 5, '第3級': 1, '第1級': 9, '第3*級': 2, '第6級': 3, '第1*級': 1, '第2*級': 1}",2,Y,Y
42,臺北市長馬英九一早就前往新生國小主持落成典禮，受到師生、家長的熱烈歡迎，校園裡洋溢著熱鬧氣氛。,臺北 市長 馬英九 一早 就 前往 新生 國小 主持 落成 典禮 受到 師生 家長 的 熱烈 歡迎 校園 裡 洋溢 著 熱鬧 氣氛,23,"{'High': 22, 'Low': 1}","{'Unknown': 6, '第5級': 4, '第1級': 2, '第3*級': 2, '第7級': 1, '第4級': 3, '第2級': 1, '第3級': 1, '第1*級': 1, '第6級': 1, '第4*級': 1}",1,Y,Y
43,新生國小從八十七年二月二十五日動土興建，歷時兩年七個月完工。在揭幕儀式中，師生代表、建築師和教育局行政人員等人，在鳴炮聲中，一起為校舍落成啟用剪綵。,新生 國小 從 八十七年 二月 二十五日 動土 興建 歷時 兩 年 七 個 月 完工 在 揭幕 儀式 中 師生 代表 建築師 和 教育局 行政 人員 等 人 在 鳴炮聲 中 一起 為 校舍 落成 啟用 剪綵,37,"{'High': 30, 'Low': 7}","{'Unknown': 14, '第3*級': 2, '第1*級': 3, '第5級': 3, '第6級': 4, '第1級': 7, '第4級': 1, '第7級': 3}",5,Y,Y
44,馬市長說，外界對新生國小有很高的期待，他贊成新生國小建構雙語環境，不過，該校也應以培育健全的小國民為目標。,馬 市長 說 外界 對 新生 國小 有 很 高 的 期待 他 贊成 新生 國小 建構 雙語 環境 不過 該 校 也 應 以 培育 健全 的 小 國民 為 目標,32,"{'High': 31, 'Low': 1}","{'第2級': 2, 'Unknown': 7, '第1級': 10, '第5級': 5, '第3*級': 2, '第4*級': 2, '第6級': 2, '第3級': 1, '第4級': 1}",0,Y,Y
45,該校師生昨天並以一場熱鬧活潑的嘉年華會慶祝落成典禮，從幼稚園到國小六年級的學生，以遊行方式呈現精采表演。野獸國王、四季花仙子、童話王國、魔術方塊、愛麗絲夢遊記、美女與野獸、一飛沖天等卡通人物，到處可見。,該 校 師生 昨天 並 以 一 場 熱鬧 活潑 的 嘉年華會 慶祝 落成 典禮 從 幼稚園 到 國小 六年級 的 學生 以 遊行 方式 呈現 精采 表演 野獸 國王 四季花 仙子 童話 王國 魔術 方塊 愛麗絲 夢遊記 美女 與 野獸 一 飛 沖天 等 卡通 人物 到處 可 見,50,"{'High': 42, 'Low': 8}","{'第4*級': 6, 'Unknown': 12, '第1級': 7, '第5級': 7, '第2級': 1, '第3*級': 3, '第4級': 5, '第7級': 1, '第1*級': 2, '第6級': 4, '第2*級': 1, '第3級': 1}",6,Y,Y
