sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
我滿懷好奇的問：為什麼呢？,我 滿懷 好奇 的 問 為什麼 呢,7,我(3033032) 滿懷(3002) 好奇(13958) 的(16029838) 問(165473) 為什麼(106142) 呢(204566),{'High': 7},"{'第1級': 4, '第6級': 1, '第4級': 1, '第1*級': 1}",1,Y,N,N,N
因為它明天就會換一群新的小精靈了。,因為 它 明天 就 會 換 一 群 新 的 小 精靈 了,13,因為(425061) 它(316854) 明天(18918) 就(1737544) 會(1014977) 換(25907) 一(3701681) 群(39283) 新(212453) 的(16029838) 小(318835) 精靈(3737) 了(3199291),{'High': 13},"{'第1*級': 3, '第1級': 6, '第3級': 1, '第4級': 1, '第7級': 1, 'Unknown': 1}",0,Y,Y,N,N
啊！,啊,1,啊(135484),{'High': 1},{'第2級': 1},0,N,N,N,N
我懂了！,我 懂 了,3,我(3033032) 懂(32301) 了(3199291),{'High': 3},"{'第1級': 1, '第1*級': 1, 'Unknown': 1}",0,Y,N,N,N
人生不也是如此嗎？,人生 不 也 是 如此 嗎,6,人生(69234) 不(2282521) 也(1590760) 是(4642407) 如此(133083) 嗎(248249),{'High': 6},"{'第4*級': 1, '第1級': 4, '第5級': 1}",0,Y,N,N,N
今天，你還好端端的站在這兒，或許明天就已離開了世間。,今天 你 還 好端端 的 站 在 這兒 或許 明天 就 已 離開 了 世間,15,今天(73277) 你(1414837) 還(625086) 好端端(520) 的(16029838) 站(68488) 在(3284238) 這兒(16246) 或許(60077) 明天(18918) 就(1737544) 已(215610) 離開(71748) 了(3199291) 世間(7486),{'High': 15},"{'第1級': 6, 'Unknown': 2, '第7級': 1, '第1*級': 2, '第4級': 1, '第3級': 1, '第2級': 1, '第6級': 1}",1,Y,N,N,N
所以，我們應該把握這短短的人生，努力創造一番轟轟烈烈的事業，人生雖然短，但它曾經有過燦爛的光芒，也算值得了，你說是嗎？,所以 我們 應該 把握 這 短短 的 人生 努力 創造 一 番 轟轟烈烈 的 事業 人生 雖然 短 但 它 曾經 有 過 燦爛 的 光芒 也 算 值得 了 你 說 是 嗎,34,所以(239080) 我們(979260) 應該(165478) 把握(9439) 這(2114032) 短短(6774) 的(16029838) 人生(69234) 努力(62566) 創造(38327) 一(3701681) 番(30293) 轟轟烈烈(828) 的(16029838) 事業(32957) 人生(69234) 雖然(152988) 短(22412) 但(597124) 它(316854) 曾經(52970) 有(2217079) 過(412878) 燦爛(4295) 的(16029838) 光芒(6405) 也(1590760) 算(33905) 值得(34362) 了(3199291) 你(1414837) 說(1285247) 是(4642407) 嗎(248249),{'High': 34},"{'第1*級': 5, '第1級': 12, '第5級': 3, 'Unknown': 2, '第4*級': 4, '第2級': 4, '第7級': 1, '第4級': 2, '第6級': 1}",1,Y,Y,N,N
參觀大陸小朋友書法展的感想.武功國小六年七班.李碩.書法是一種表達情感的藝術，透過字的粗細、明暗、大小、長短及抑揚頓挫，等表達力與美，也是我國文化的基礎。,參觀 大陸 小朋友 書法展 的 感想 武功 國小 六年七班 李碩 書法 是 一 種 表達 情感 的 藝術 透過 字 的 粗細 明暗 大小 長短 及 抑揚頓挫 等 表達 力 與 美 也 是 我國 文化 的 基礎,38,參觀(9034) 大陸(27031) 小朋友(9889) 書法展(22) 的(16029838) 感想(2427) 武功(6443) 國小(4760) 六年七班(Unknown) 李碩(3) 書法(3652) 是(4642407) 一(3701681) 種(701563) 表達(34582) 情感(23819) 的(16029838) 藝術(80645) 透過(63117) 字(75654) 的(16029838) 粗細(463) 明暗(738) 大小(17587) 長短(2397) 及(304586) 抑揚頓挫(423) 等(327380) 表達(34582) 力(13779) 與(968432) 美(53380) 也(1590760) 是(4642407) 我國(7225) 文化(115697) 的(16029838) 基礎(39682),"{'High': 35, 'Low': 3}","{'第3*級': 5, '第2級': 2, 'Unknown': 8, '第1級': 9, '第5級': 5, '第4*級': 5, '第4級': 2, '第7級': 1, '第1*級': 1}",4,Y,Y,N,Y
書法同時也是一種娛樂，無聊鬱悶時，提筆一寫，身心舒暢。,書法 同時 也 是 一 種 娛樂 無聊 鬱悶 時 提筆 一 寫 身心 舒暢,15,書法(3652) 同時(115305) 也(1590760) 是(4642407) 一(3701681) 種(701563) 娛樂(8783) 無聊(9376) 鬱悶(1487) 時(623734) 提筆(879) 一(3701681) 寫(113933) 身心(9736) 舒暢(1389),{'High': 15},"{'第3*級': 3, '第1級': 5, 'Unknown': 1, '第5級': 2, '第3級': 1, '第7級': 2, '第6級': 1}",0,Y,N,N,N
有些小朋友非常厲害，從小就勤練書法，並參加比賽，成績非凡，特別是今天展出的一張張書法紙上，有著變化無窮的線條，它們大部分都是從大陸小朋友的作品中精挑細選找出來的。,有 些 小朋友 非常 厲害 從小 就 勤練 書法 並 參加 比賽 成績 非凡 特別 是 今天 展出 的 一張張 書法 紙 上 有 著 變化 無窮 的 線條 它們 大部分 都 是 從 大陸 小朋友 的 作品 中 精挑細選 找出來 的,42,有(2217079) 些(159879) 小朋友(9889) 非常(152032) 厲害(12727) 從小(12334) 就(1737544) 勤練(305) 書法(3652) 並(442790) 參加(42962) 比賽(20220) 成績(16851) 非凡(3466) 特別(91212) 是(4642407) 今天(73277) 展出(3360) 的(16029838) 一張張(888) 書法(3652) 紙(23590) 上(1233218) 有(2217079) 著(1004687) 變化(42502) 無窮(4794) 的(16029838) 線條(5715) 它們(65805) 大部分(32534) 都(1125846) 是(4642407) 從(496546) 大陸(27031) 小朋友(9889) 的(16029838) 作品(79492) 中(1011729) 精挑細選(277) 找出來(1117) 的(16029838),{'High': 42},"{'第1級': 12, 'Unknown': 11, '第2級': 6, '第1*級': 3, '第4級': 3, '第3*級': 3, '第4*級': 1, '第6級': 1, '第5級': 2}",6,Y,Y,N,N
我看到一張運筆純熟的書法，眼睛一亮，心想：不知道是幾歲寫的，大概十三歲吧？,我 看到 一 張 運筆 純熟 的 書法 眼睛 一 亮 心想 不 知道 是 幾 歲 寫 的 大概 十三 歲 吧,23,我(3033032) 看到(159419) 一(3701681) 張(99414) 運筆(159) 純熟(825) 的(16029838) 書法(3652) 眼睛(65022) 一(3701681) 亮(12013) 心想(16689) 不(2282521) 知道(343214) 是(4642407) 幾(229415) 歲(130085) 寫(113933) 的(16029838) 大概(37780) 十三(9810) 歲(130085) 吧(184477),{'High': 23},"{'第1級': 13, '第1*級': 3, 'Unknown': 3, '第7級': 1, '第3*級': 1, '第4級': 1, '第3級': 1}",0,Y,N,N,N
往左下角一看，卻發現落款處寫著：劉夢夢五歲書，哇！,往 左下角 一 看 卻 發現 落款 處 寫 著 劉夢夢 五 歲 書 哇,15,往(95775) 左下角(153) 一(3701681) 看(444691) 卻(333007) 發現(175233) 落款(261) 處(84410) 寫(113933) 著(1004687) 劉夢夢(Unknown) 五(112649) 歲(130085) 書(174356) 哇(7634),"{'High': 14, 'Low': 1}","{'第2級': 2, 'Unknown': 6, '第1級': 5, '第4級': 1, '第3級': 1}",2,Y,N,N,Y
不可思議，竟然寫得這麼好哇！,不可思議 竟然 寫 得 這麼 好 哇,7,不可思議(7724) 竟然(31233) 寫(113933) 得(573721) 這麼(116973) 好(448428) 哇(7634),{'High': 7},"{'第5級': 1, '第4*級': 1, '第1級': 1, 'Unknown': 2, '第2級': 1, '第3級': 1}",1,Y,N,N,N
我又看到字體端正，粗細分明的一張，是八歲陳星毅小朋友寫的。,我 又 看到 字體 端正 粗細 分明 的 一 張 是 八 歲 陳星毅 小朋友 寫 的,17,我(3033032) 又(535555) 看到(159419) 字體(2484) 端正(1400) 粗細(463) 分明(4849) 的(16029838) 一(3701681) 張(99414) 是(4642407) 八(54961) 歲(130085) 陳星毅(Unknown) 小朋友(9889) 寫(113933) 的(16029838),"{'High': 16, 'Low': 1}","{'第1級': 8, '第1*級': 3, '第5級': 1, '第7級': 1, 'Unknown': 2, '第6級': 1, '第2級': 1}",2,Y,N,N,Y
我覺得每張都各具特色，但觀察之後，發現也有共同點：：大小一致。,我 覺得 每 張 都 各 具 特色 但 觀察 之後 發現 也 有 共同點 大小 一致,17,我(3033032) 覺得(183034) 每(333357) 張(99414) 都(1125846) 各(243023) 具(41661) 特色(16060) 但(597124) 觀察(44358) 之後(190467) 發現(175233) 也(1590760) 有(2217079) 共同點(1079) 大小(17587) 一致(17053),{'High': 17},"{'第1級': 4, '第1*級': 3, '第2級': 3, '第6級': 1, '第4級': 3, '第5級': 2, 'Unknown': 1}",1,Y,Y,N,N
墨色很黑很濃。,墨色 很 黑 很 濃,5,墨色(205) 很(715675) 黑(37780) 很(715675) 濃(5888),{'High': 5},"{'Unknown': 1, '第1級': 2, '第1*級': 1, '第4級': 1}",0,Y,N,N,N
大陸上的小朋友真有書法家的氣勢，個個都是天才兒童，我跟他們比起來，哇！,大陸 上 的 小朋友 真 有 書法家 的 氣勢 個個 都 是 天才 兒童 我 跟 他們 比 起來 哇,20,大陸(27031) 上(1233218) 的(16029838) 小朋友(9889) 真(137497) 有(2217079) 書法家(633) 的(16029838) 氣勢(4177) 個個(5022) 都(1125846) 是(4642407) 天才(6531) 兒童(30462) 我(3033032) 跟(260280) 他們(716752) 比(170486) 起來(110738) 哇(7634),{'High': 20},"{'第3*級': 1, '第1級': 8, '第2級': 1, '第1*級': 4, 'Unknown': 2, '第6級': 1, '第5級': 1, '第4級': 1, '第3級': 1}",2,Y,N,N,N
那差太多啦！,那 差 太多 啦,4,那(754138) 差(23865) 太多(30757) 啦(51335),{'High': 4},"{'第1級': 1, 'Unknown': 2, '第2級': 1}",0,Y,N,N,N
真希望自己能和他們一樣寫出這麼好、這麼棒的書法來。,真 希望 自己 能 和 他們 一樣 寫出 這麼 好 這麼 棒 的 書法 來,15,真(137497) 希望(119975) 自己(744739) 能(582260) 和(1338337) 他們(716752) 一樣(188109) 寫出(6482) 這麼(116973) 好(448428) 這麼(116973) 棒(16112) 的(16029838) 書法(3652) 來(742183),{'High': 15},"{'第1*級': 4, '第2級': 4, 'Unknown': 3, '第1級': 3, '第3*級': 1}",0,Y,N,N,N
從小，我就很討厭書法，以至於書法寫得很爛，不過參觀了這次展覽以後，我的想法漸漸改變，開始對書法有興趣，有耐心，相信書法功力會因而大增。,從小 我 就 很 討厭 書法 以至於 書法 寫 得 很 爛 不過 參觀 了 這 次 展覽 以後 我 的 想法 漸漸 改變 開始 對 書法 有 興趣 有 耐心 相信 書法 功力 會 因而 大增,37,從小(12334) 我(3033032) 就(1737544) 很(715675) 討厭(14138) 書法(3652) 以至於(4191) 書法(3652) 寫(113933) 得(573721) 很(715675) 爛(6806) 不過(186226) 參觀(9034) 了(3199291) 這(2114032) 次(331701) 展覽(6450) 以後(71883) 我(3033032) 的(16029838) 想法(54022) 漸漸(20748) 改變(92018) 開始(245562) 對(897964) 書法(3652) 有(2217079) 興趣(34215) 有(2217079) 耐心(8731) 相信(82200) 書法(3652) 功力(2543) 會(1014977) 因而(29060) 大增(1599),{'High': 37},"{'第4級': 4, '第1級': 11, '第3*級': 5, '第6級': 1, 'Unknown': 4, '第5級': 2, '第2級': 5, '第1*級': 2, '第4*級': 2, '第3級': 1}",1,Y,Y,N,N
在此，也恭喜大陸得獎的小朋友。,在 此 也 恭喜 大陸 得 獎 的 小朋友,9,在(3284238) 此(288458) 也(1590760) 恭喜(1905) 大陸(27031) 得(573721) 獎(6328) 的(16029838) 小朋友(9889),{'High': 9},"{'第1*級': 1, '第5級': 1, '第1級': 2, '第4級': 2, '第3*級': 1, 'Unknown': 1, '第2級': 1}",1,Y,N,N,N
貪心的羊寶寶.彰化縣僑信國小五年八班蕭幸茹.在一個風和日麗的日子裡，一隻肥胖可愛的羊寶寶正提著竹籃，一邊哼著歌一邊邁開步伐，要到山頭去採一些美麗的花兒。,貪心 的 羊 寶寶 彰化縣 僑信 國小 五年八班 蕭幸茹 在 一 個 風和日麗 的 日子 裡 一 隻 肥胖 可愛 的 羊 寶寶 正 提 著 竹籃 一邊 哼 著 歌 一邊 邁開 步伐 要 到 山頭 去 採 一些 美麗 的 花兒,43,貪心(1175) 的(16029838) 羊(12825) 寶寶(26212) 彰化縣(742) 僑信(Unknown) 國小(4760) 五年八班(Unknown) 蕭幸茹(Unknown) 在(3284238) 一(3701681) 個(2296574) 風和日麗(272) 的(16029838) 日子(28378) 裡(520435) 一(3701681) 隻(93136) 肥胖(3030) 可愛(12593) 的(16029838) 羊(12825) 寶寶(26212) 正(179334) 提(33635) 著(1004687) 竹籃(309) 一邊(33635) 哼(7010) 著(1004687) 歌(18438) 一邊(33635) 邁開(709) 步伐(3777) 要(851264) 到(546906) 山頭(2324) 去(479993) 採(8996) 一些(156929) 美麗(24889) 的(16029838) 花兒(746),"{'High': 40, 'Low': 3}","{'第5級': 2, '第1級': 10, '第4級': 2, 'Unknown': 12, '第3*級': 4, '第1*級': 5, '第2級': 2, '第4*級': 2, '第3級': 1, '第7級': 1, '第6級': 2}",4,Y,N,N,Y
一陣花香撲鼻，羊寶寶不由自主的轉過頭去，看到一個山洞前種了許多美麗的小花。,一 陣 花香 撲鼻 羊 寶寶 不由自主 的 轉 過 頭 去 看到 一 個 山洞 前 種 了 許多 美麗 的 小 花,24,一(3701681) 陣(26383) 花香(850) 撲鼻(714) 羊(12825) 寶寶(26212) 不由自主(2295) 的(16029838) 轉(20108) 過(412878) 頭(112925) 去(479993) 看到(159419) 一(3701681) 個(2296574) 山洞(2299) 前(272709) 種(701563) 了(3199291) 許多(159791) 美麗(24889) 的(16029838) 小(318835) 花(72593),{'High': 24},"{'第1級': 8, '第4級': 2, 'Unknown': 6, '第7級': 1, '第6級': 2, '第1*級': 3, '第3*級': 2}",1,Y,N,N,N
羊寶寶心想：好美的花兒！,羊 寶寶 心想 好 美 的 花兒,7,羊(12825) 寶寶(26212) 心想(16689) 好(448428) 美(53380) 的(16029838) 花兒(746),{'High': 7},"{'第4級': 1, 'Unknown': 3, '第1*級': 2, '第1級': 1}",0,Y,N,N,N
便順手摘了幾朵，突然山洞裡傳來一陣問好聲：嗨！,便 順手 摘 了 幾 朵 突然 山洞 裡 傳來 一 陣 問好 聲 嗨,15,便(220860) 順手(2580) 摘(3532) 了(3199291) 幾(229415) 朵(9642) 突然(69636) 山洞(2299) 裡(520435) 傳來(15524) 一(3701681) 陣(26383) 問好(701) 聲(54182) 嗨(2588),{'High': 15},"{'第6級': 3, '第5級': 1, 'Unknown': 2, '第1級': 2, '第3*級': 1, '第4級': 4, '第1*級': 1, '第4*級': 1}",0,Y,N,N,N
羊妹妹，你好哇！,羊 妹妹 你 好 哇,5,羊(12825) 妹妹(15695) 你(1414837) 好(448428) 哇(7634),{'High': 5},"{'第4級': 1, '第1級': 2, 'Unknown': 1, '第3級': 1}",0,Y,N,N,N
這麼早就到山上來做啥呢？,這麼 早 就 到 山 上 來 做 啥 呢,10,這麼(116973) 早(62038) 就(1737544) 到(546906) 山(54936) 上(1233218) 來(742183) 做(411649) 啥(8031) 呢(204566),{'High': 10},"{'第2級': 1, '第1級': 7, '第1*級': 1, '第6級': 1}",0,Y,N,N,N
羊寶寶笑著說：你好哇！,羊 寶寶 笑 著 說 你 好 哇,8,羊(12825) 寶寶(26212) 笑(68493) 著(1004687) 說(1285247) 你(1414837) 好(448428) 哇(7634),{'High': 8},"{'第4級': 1, 'Unknown': 3, '第2級': 1, '第1級': 2, '第3級': 1}",0,Y,N,N,N
野狼哥哥，媽媽要我到山上摘幾朵花，這些花兒好美呀！,野狼 哥哥 媽媽 要 我 到 山 上 摘 幾 朵 花 這些 花兒 好 美 呀,17,野狼(1051) 哥哥(18973) 媽媽(70492) 要(851264) 我(3033032) 到(546906) 山(54936) 上(1233218) 摘(3532) 幾(229415) 朵(9642) 花(72593) 這些(315113) 花兒(746) 好(448428) 美(53380) 呀(47302),{'High': 17},"{'Unknown': 4, '第1級': 7, '第1*級': 3, '第5級': 1, '第3*級': 1, '第2級': 1}",0,Y,N,N,N
不知道能不能摘幾朵？,不 知道 能不能 摘 幾 朵,6,不(2282521) 知道(343214) 能不能(8647) 摘(3532) 幾(229415) 朵(9642),{'High': 6},"{'第1級': 3, 'Unknown': 1, '第5級': 1, '第3*級': 1}",1,Y,N,N,N
野狼答道：這些花是我種的，既然我們是好朋友，你就拿回去吧！,野狼 答 道 這些 花 是 我 種 的 既然 我們 是 好朋友 你 就 拿回去 吧,17,野狼(1051) 答(11720) 道(141723) 這些(315113) 花(72593) 是(4642407) 我(3033032) 種(701563) 的(16029838) 既然(27241) 我們(979260) 是(4642407) 好朋友(5372) 你(1414837) 就(1737544) 拿回去(401) 吧(184477),{'High': 17},"{'Unknown': 7, '第3級': 1, '第1級': 8, '第4*級': 1}",2,Y,Y,N,N
羊寶寶說了聲謝謝便回家了。,羊 寶寶 說 了 聲 謝謝 便 回家 了,9,羊(12825) 寶寶(26212) 說(1285247) 了(3199291) 聲(54182) 謝謝(16562) 便(220860) 回家(35375) 了(3199291),{'High': 9},"{'第4級': 1, 'Unknown': 5, '第1級': 2, '第6級': 1}",0,Y,N,N,N
半路上，他遇見好友狗狗，狗狗看見他手上的花就問：羊寶寶哇！,半路 上 他 遇見 好友 狗狗 狗狗 看見 他 手 上 的 花 就 問 羊 寶寶 哇,18,半路(1473) 上(1233218) 他(2487930) 遇見(7702) 好友(6818) 狗狗(2021) 狗狗(2021) 看見(56420) 他(2487930) 手(146361) 上(1233218) 的(16029838) 花(72593) 就(1737544) 問(165473) 羊(12825) 寶寶(26212) 哇(7634),{'High': 18},"{'第5級': 1, '第1級': 7, '第4級': 2, 'Unknown': 5, '第1*級': 2, '第3級': 1}",0,Y,N,N,N
這花是哪兒採的？,這 花 是 哪兒 採 的,6,這(2114032) 花(72593) 是(4642407) 哪兒(8804) 採(8996) 的(16029838),{'High': 6},"{'第1級': 4, 'Unknown': 1, '第4*級': 1}",0,Y,N,N,N
好美！,好 美,2,好(448428) 美(53380),{'High': 2},"{'Unknown': 1, '第1*級': 1}",0,Y,N,N,N
羊寶寶得意的說：這是野狼送給我的。,羊 寶寶 得意 的 說 這 是 野狼 送給 我 的,11,羊(12825) 寶寶(26212) 得意(8446) 的(16029838) 說(1285247) 這(2114032) 是(4642407) 野狼(1051) 送給(10154) 我(3033032) 的(16029838),{'High': 11},"{'第4級': 1, 'Unknown': 3, '第5級': 1, '第1級': 6}",0,Y,N,N,N
狗狗聽了大叫：羊寶寶哇！,狗狗 聽 了 大叫 羊 寶寶 哇,7,狗狗(2021) 聽(138052) 了(3199291) 大叫(10671) 羊(12825) 寶寶(26212) 哇(7634),{'High': 7},"{'Unknown': 4, '第1級': 1, '第4級': 1, '第3級': 1}",0,Y,N,N,N
做人不要貪小便宜，否則會後悔莫及，以後別去野狼那裡了。,做人 不要 貪 小便宜 否則 會 後悔莫及 以後 別 去 野狼 那裡 了,13,做人(4787) 不要(101931) 貪(6991) 小便宜(250) 否則(26547) 會(1014977) 後悔莫及(359) 以後(71883) 別(78082) 去(479993) 野狼(1051) 那裡(55755) 了(3199291),{'High': 13},"{'第6級': 1, 'Unknown': 5, '第5級': 1, '第4*級': 1, '第1*級': 3, '第1級': 2}",2,Y,Y,N,N
羊寶寶不以為然：別談這個了，我得趕緊回家，拜拜！,羊 寶寶 不以為然 別 談 這 個 了 我 得 趕緊 回家 拜拜,13,羊(12825) 寶寶(26212) 不以為然(2715) 別(78082) 談(44043) 這(2114032) 個(2296574) 了(3199291) 我(3033032) 得(573721) 趕緊(11897) 回家(35375) 拜拜(863),{'High': 13},"{'第4級': 2, 'Unknown': 4, '第6級': 1, '第1*級': 1, '第3*級': 1, '第1級': 3, '第4*級': 1}",1,Y,N,N,N
第二天，羊寶寶又到山上去，正巧經過野狼那兒，野狼看見羊寶寶，便溫和的說：羊寶寶哇！,第二 天 羊 寶寶 又 到 山 上 去 正巧 經過 野狼 那兒 野狼 看見 羊 寶寶 便 溫和 的 說 羊 寶寶 哇,24,第二(98741) 天(330413) 羊(12825) 寶寶(26212) 又(535555) 到(546906) 山(54936) 上(1233218) 去(479993) 正巧(1764) 經過(64617) 野狼(1051) 那兒(19299) 野狼(1051) 看見(56420) 羊(12825) 寶寶(26212) 便(220860) 溫和(7924) 的(16029838) 說(1285247) 羊(12825) 寶寶(26212) 哇(7634),{'High': 24},"{'Unknown': 6, '第1級': 7, '第4級': 3, '第1*級': 3, '第6級': 2, '第2級': 1, '第5級': 1, '第3級': 1}",0,Y,N,N,N
進來坐呀！,進來 坐 呀,3,進來(16019) 坐(93873) 呀(47302),{'High': 3},"{'Unknown': 1, '第1級': 1, '第2級': 1}",0,Y,N,N,N
